Param hash,Model,Scenario,Region,Damage quantile,SLR quantile,SLR adaptation,Target,Discounting,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
ebb7934d2,MIMOSA,experiment_2.2,EAF,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,-0.0,0.00218,0.00426,0.00644,0.00871,0.01107,0.01353,0.01605,0.01864,0.02133,0.02416,0.02713,0.03021,0.03342,0.03676,0.04025,0.04392
ebb7934d2,MIMOSA,experiment_2.2,INDIA,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,-0.00023,-0.00044,-0.00066,-0.00088,-0.00112,-0.00137,-0.00162,-0.00188,-0.00216,-0.00245,-0.00277,-0.0031,-0.00345,-0.00382,-0.00421,-0.00463
ebb7934d2,MIMOSA,experiment_2.2,INDO,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00025,0.0006,0.00098,0.00139,0.00181,0.00225,0.00273,0.00322,0.00371,0.0042,0.00469,0.00517,0.00565,0.00613,0.00659,0.00702
ebb7934d2,MIMOSA,experiment_2.2,JAP,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00064,0.0013,0.00201,0.00277,0.00358,0.00444,0.00533,0.00627,0.00724,0.00827,0.00935,0.01047,0.01164,0.01286,0.01413,0.01546
ebb7934d2,MIMOSA,experiment_2.2,KOR,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00115,0.00229,0.00347,0.0047,0.00598,0.00729,0.00865,0.01003,0.01147,0.01295,0.0145,0.01609,0.01773,0.01942,0.02117,0.02299
ebb7934d2,MIMOSA,experiment_2.2,ME,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,-0.0,0.00039,0.00081,0.00124,0.0017,0.00217,0.00265,0.00315,0.00366,0.00419,0.00473,0.00528,0.00584,0.00641,0.00699,0.00759,0.00819
ebb7934d2,MIMOSA,experiment_2.2,MEX,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,-0.00325,-0.0064,-0.00973,-0.01322,-0.01689,-0.02071,-0.02465,-0.02873,-0.03298,-0.03746,-0.04215,-0.04705,-0.05215,-0.05746,-0.06303,-0.06889
ebb7934d2,MIMOSA,experiment_2.2,NAF,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,-0.00053,-0.00104,-0.00161,-0.00227,-0.003,-0.0038,-0.00465,-0.00556,-0.00656,-0.00765,-0.00884,-0.01013,-0.01151,-0.01299,-0.01459,-0.01633
ebb7934d2,MIMOSA,experiment_2.2,OCE,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,-0.00015,-0.00029,-0.00045,-0.00063,-0.00084,-0.00107,-0.00131,-0.00158,-0.00187,-0.00219,-0.00255,-0.00294,-0.00336,-0.00381,-0.0043,-0.00483
ebb7934d2,MIMOSA,experiment_2.2,R5.2ASIA,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,-0.0,-1e-05,2e-05,7e-05,0.00014,0.00022,0.00032,0.00043,0.00056,0.0007,0.00083,0.00098,0.00112,0.00127,0.00143,0.00159,0.00174
